ItemCode,ItemName,ManufacturerName,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,ItemPrice,UnitOfMeasurePrice,NormalizedName,מחלקה
5411188124689,אלפרו משקה שיבולת שו,לא ידוע,אלפרו משקה שיבולת שו,ליטרים,1.0,ליטר,14.7,14.7,אלפרו משקה שיבולת,לבדיקה ידנית
7290116052779,כף קרם 40 יחידות,לא ידוע,כף קרם 40 יחידות,יח',1.0,יח',7.9,7.9,קרם,לבדיקה ידנית
7290001973233,קמיל בלו מגבונים לחי,"ד""ר פישר",ק.ב סנסטיב מגבונים 120 יח,יח',120.0,יח',11.0,0.0917,קמיל בלו מגבונים לחי,לבדיקה ידנית
7290112343420,יטבתה פרו ארוחת בוקר,לא ידוע,יטבתה פרו ארוחת בוקר,מיליליטרים,350.0,"100 מ""ל",8.0,0.0229,יטבתה פרו ארוחת בוקר,לבדיקה ידנית
5035766060253,מרפיס 500מל פחית,טמפו,מרפיס 500 פחית 24 יח',מיליליטרים,500.0,"100 מ""ל",14.5,0.029,מרפיס פחית,לבדיקה ידנית
5906485301012,"XL פחית 250 מ""ל",טמפו,"XL 250 מ""ל פחית 24 יח'",מיליליטרים,250.0,"100 מ""ל",4.2,0.0168,xl פחית 250,לבדיקה ידנית
7290112495235,קורנפלקס וניל תלמה 4,לא ידוע,קורנפלקס וניל תלמה 4,גרמים,448.0,100 גרם,18.1,0.0404,קורנפלקס וניל תלמה,לבדיקה ידנית
7290108509168,שלישיית עגבניות קובי,לא ידוע,שלישיית עגבניות קובי,גרמים,720.0,100 גרם,14.9,0.0207,שלישיית עגבניות קובי,לבדיקה ידנית
3574669907729,גונסונס בייבי שמפו ג,לא ידוע,גונסונס בייבי שמפו ג,מיליליטרים,750.0,"100 מ""ל",23.9,0.0319,גונסונס בייבי שמפו,לבדיקה ידנית
7290118071099,מפיות מודפסות,לא ידוע,מפיות מודפסות,יח',1.0,יח',3.9,3.9,מפיות מודפסות,לבדיקה ידנית
7290115675696,קוואקר קרוזלי אגוזים,לא ידוע,קוואקר קרוזלי אגוזים,גרמים,375.0,100 גרם,20.0,0.0533,קוואקר קרוזלי אגוזים,לבדיקה ידנית
7290113302280,חטיף בונזו צורת נקני,לא ידוע,חטיף בונזו צורת נקני,יח',1.0,יח',12.9,12.9,חטיף בונזו צורת נקני,לבדיקה ידנית
7290000369341,לאבנה אבו גוש,לא ידוע,לאבנה אבו גוש,קילוגרמים,1.0,"ק""ג",49.0,49.0,לאבנה אבו גוש,לבדיקה ידנית
7290017487205,מרווה שדות בעמק,לא ידוע,מרווה שדות בעמק,גרמים,40.0,100 גרם,6.9,0.1725,מרווה שדות בעמק,לבדיקה ידנית
7290019056454,קולה אר סי 1.5 ליטר,לא ידוע,קולה אר סי 1.5 ליטר,ליטרים,1.5,ליטר,4.9,3.2667,קולה,לבדיקה ידנית
7290017871363,סבון ידיים מועשר 500,לא ידוע,סבון ידיים מועשר 500,מיליליטרים,500.0,"100 מ""ל",9.6,0.0192,סבון ידיים מועשר 500,לבדיקה ידנית
7290003072804,פסטרמה של פעם 200 גר,לא ידוע,פסטרמה של פעם 200 גר,גרמים,200.0,100 גרם,24.2,0.121,פסטרמה פעם 200,לבדיקה ידנית
7290116531250,פינוק שמפו נגד קשקשי,לא ידוע,פינוק שמפו נגד קשקשי,מיליליטרים,770.0,"100 מ""ל",11.9,0.0155,פינוק שמפו נגד קשקשי,לבדיקה ידנית
7290114311014,משקה חלב אייס קפוצ'י,לא ידוע,משקה חלב אייס קפוצ'י,מיליליטרים,250.0,"100 מ""ל",5.7,0.0228,משקה חלב אייס קפוצ,לבדיקה ידנית
7290018989326,זוג סלק אדום קוביות,לא ידוע,זוג סלק אדום קוביות,גרמים,210.0,100 גרם,10.7,0.051,זוג סלק אדום קוביות,לבדיקה ידנית
8001090291035,אורל בי משחה וויט רע,לא ידוע,אורל בי משחה וויט רע,מיליליטרים,75.0,"100 מ""ל",14.0,0.1867,אורל משחה וויט,לבדיקה ידנית
7290108357400,תחליב רחצה קרמה 700,לא ידוע,תחליב רחצה קרמה 700,מיליליטרים,700.0,"100 מ""ל",14.9,0.0213,תחליב רחצה קרמה 700,לבדיקה ידנית
8801055724284,קפה נמס מגורען טסטר,לא ידוע,קפה נמס מגורען טסטר,גרמים,200.0,100 גרם,34.9,0.1745,קפה נמס מגורען טסטר,לבדיקה ידנית
7290112348999,פריכיות הטעימות תירס,לא ידוע,פריכיות הטעימות תירס,גרמים,135.0,100 גרם,10.7,0.0793,פריכיות הטעימות תירס,לבדיקה ידנית
7777886700289,סט צלחת מחולקת דובי,לא ידוע,סט צלחת מחולקת דובי,יח',1.0,יח',8.0,8.0,צלחת מחולקת דובי,לבדיקה ידנית
7290110564742,משקה קפה קר חזק 1.2%,לא ידוע,משקה קפה קר חזק 1.2%,גרמים,230.0,100 גרם,8.0,0.0348,משקה קפה חזק,לבדיקה ידנית
7290006129345,אנטריקוט דק דק,לא ידוע,אנטריקוט דק דק,יח',1.0,יח',35.3,35.3,אנטריקוט,לבדיקה ידנית
7290003006021,קוביות מעדן פטה מעדנ,לא ידוע,קוביות מעדן פטה מעדנ,קילוגרמים,1.0,"ק""ג",71.0,71.0,קוביות מעדן פטה מעדנ,לבדיקה ידנית
